date,baseline_cases
2019-01-31,3484.0
2019-02-28,2589.0
2019-03-31,1960.0
2019-04-30,1478.0
2019-05-31,1065.0
2019-06-30,796.0
2019-07-31,582.0
2019-08-31,442.0
2019-09-30,334.0
2019-10-31,244.0
2019-11-30,189.0
2019-12-31,141.0
2020-01-31,106.0
2020-02-29,84.0
2020-03-31,60.0
2020-04-30,45.0
2020-05-31,30.0
2020-06-30,22.0
2020-07-31,18.0
2020-08-31,11.0
2020-09-30,12.0
2020-10-31,10.0
2020-11-30,8.0
2020-12-31,6.0
2021-01-31,3.0
2021-02-28,5.0
2021-03-31,5.0
2021-04-30,5.0
2021-05-31,5.0
2021-06-30,5.0
2021-07-31,5.0
2021-08-31,4.0
2021-09-30,4.0
2021-10-31,4.0
2021-11-30,4.0
2021-12-31,3.0
2022-01-31,2.0
2022-02-28,2.0
2022-03-31,3.0
2022-04-30,1.0
2022-05-31,1.0
2022-06-30,1.0
2022-07-31,2.0
2022-08-31,1.0
2022-09-30,0.0
2022-10-31,1.0
2022-11-30,2.0
2022-12-31,1.0
2023-01-31,1.0
2023-02-28,1.0
2023-03-31,0.0
2023-04-30,0.0
2023-05-31,0.0
2023-06-30,1.0
2023-07-31,2.0
2023-08-31,1.0
2023-09-30,2.0
2023-10-31,2.0
2023-11-30,1.0
2023-12-31,0.0
2024-01-31,0.0
2024-02-29,0.0
2024-03-31,1.0
2024-04-30,1.0
2024-05-31,0.0
2024-06-30,0.0
2024-07-31,0.0
2024-08-31,1.0
2024-09-30,3.0
2024-10-31,2.0
2024-11-30,1.0
2024-12-31,1.0
2025-01-31,1.0
