year,month,fic_at_1yr,fic_under_1yr,estimated_lb,fic_above_2yrs,pneumonia,urti,hepatitis,other_urti,presumed_tuberculosis,neonatal_tetanus,peri_neonatal_tetanus,tetanus,estimated_deliveries,measles,poliomyelitis,hepatitisb_positive,hepatitisc_positive,respiratory_tuberculosis,other_acute_lower_resp_infe,yellow_fever_cases,other_tuberculosis,viral_hepatitis,presumptive_tb_cases,yellow_fever_inpatient,tetanus_inpatient,lower_rti,diphtheria,bcg,rota1,rota2,rota3,opv0,opv1,opv2,opv3,yellow_fever,measles1,measles1_above1yrs_piri,measles1_above1yrs,measles2,measles2_above2yrs,measles2_above2yrs_piri,dpt1,dpt2,dpt3,pneumococal1,pneumococal2,pneumococal3
2018,April,2761,809752,5255195,0,854202,5122792,1504,942960,10792,50,0,562,5119571,1488,88,153,18,0,0,0,0,0,0,0,0,0,0,699666,213552,193616,0,195798,217542,200018,200040,4658,641454,0,0,116248,11264,0,326661,200664,404432,216408,205802,201958
2018,August,2761,859112,5255195,0,851142,5413532,2476,954859,11448,16,0,588,5119571,1832,216,332,92,16,0,4,0,0,0,0,0,0,0,722856,235008,226094,0,203278,235634,229482,232564,3166,680088,0,0,116924,12946,0,357051,233410,471368,237106,231454,235174
2018,December,2761,694840,5255195,0,692064,3416176,1776,629040,7396,162,0,526,5119571,1984,108,153,52,0,0,8,0,0,0,0,0,0,0,584550,200302,194572,0,175912,201978,197320,195036,2424,538326,0,2,101016,7682,0,306075,201526,396856,203550,200186,197670
2018,February,2761,771568,5255195,0,770160,5836284,1744,1047072,9488,40,0,556,5119571,1508,76,427,127,1,1,0,0,0,0,0,0,0,0,618360,196956,198296,0,165024,199458,203474,204866,4166,615768,0,0,103444,9766,0,299310,204956,414820,200054,206222,207310
2018,January,2761,863448,5255195,0,811614,6272680,1456,1093044,9320,24,1,550,5119571,1964,108,495,131,0,0,0,0,0,0,0,0,0,0,720732,224868,212318,0,191486,227830,221960,240162,5556,693600,0,0,118668,12804,0,342372,224110,490760,225374,221288,243028
2018,July,2761,848984,5255195,0,1128996,7737404,1796,1310262,12476,26,0,1094,5119571,1584,20,261,56,0,0,0,0,0,0,0,0,0,0,713742,233946,224948,0,196704,235932,228308,218972,3432,669876,0,0,116076,10034,0,359040,232130,446652,238282,232278,223216
2018,June,2761,809336,5255195,0,1040988,7019024,2588,1174062,11104,108,0,368,5119571,1460,216,308,116,0,0,0,0,0,0,0,0,0,0,693384,230394,211628,0,187644,230134,213288,202482,5288,640602,0,0,113670,11404,0,352920,219030,416392,235028,219196,208716
2018,March,2761,826528,5255195,0,934050,6011860,1404,1103976,10356,8,0,196,5119571,2496,92,147,13,12,0,8,0,0,0,0,0,0,0,675894,209302,197624,0,187402,210214,202896,211678,5076,658338,0,0,107302,11792,0,319338,204580,425620,212342,201994,212654
2018,May,2761,888128,5255195,8,1064724,7205180,3692,1539246,11620,8,0,312,5119571,4432,72,171,13,0,0,0,0,0,0,0,0,0,0,769482,241776,212998,0,212186,242368,219070,211944,5568,707556,0,0,126024,23528,0,366726,221288,430740,243496,220570,215488
2018,November,2761,782088,5255195,0,768636,4571428,2120,767502,9336,30,0,722,5119571,2776,536,704,81,0,0,0,0,0,0,0,0,0,0,675660,229896,220588,0,194614,233854,226432,213926,4288,612066,0,1,108768,10804,0,352137,227516,433156,233152,226434,215128
2018,October,2761,848016,5255195,0,897930,5854348,2328,1020429,11920,32,0,488,5119571,3292,208,341,69,3,0,0,0,0,0,0,0,0,0,727134,243716,220104,0,206772,248634,224306,226662,5260,668172,0,0,118536,14572,0,371559,225554,456284,247870,224592,228260
2018,September,2761,843544,5255195,0,839562,5833592,2388,1011801,9196,106,0,340,5119571,1864,104,336,48,0,0,0,0,0,0,0,0,0,0,696288,230500,206620,0,200218,217876,212222,214228,6080,662472,0,0,111702,12860,0,326724,213882,432272,218932,213064,216386
2019,April,0,826264,5097102,0,869358,4886044,2120,839139,10492,54,0,482,5171076,2020,188,216,151,3,0,40,5,0,0,0,0,0,0,702636,224294,210194,0,199252,225358,215048,209782,900,645498,0,0,110624,8988,0,340542,214514,421128,220840,212172,206344
2019,August,0,856504,5097102,0,988692,5752340,1884,932475,16488,82,0,534,5171076,1844,188,133,46,12,1,16,2,0,0,0,0,0,0,670320,221372,221846,0,192600,229008,225650,215002,7048,663054,0,0,108072,6352,0,334155,226504,448684,223168,227652,228112
2019,December,0,619840,5097102,0,805470,4465008,1788,723264,9228,58,0,464,5171076,1692,248,306,60,16,1,0,0,0,0,0,0,8,0,622908,207908,197178,0,180570,208734,204110,201826,8202,474708,52,94,76710,3688,70,310410,200200,402632,208610,202730,203082
2019,February,0,770912,5097102,0,766656,4859152,2736,833418,8012,74,0,758,5171076,3084,132,181,74,1,0,36,2,0,0,0,0,0,0,631788,201484,199482,0,171140,202372,199274,192848,2018,605244,0,0,100838,8940,0,305148,204344,393724,202896,203300,195314
2019,January,0,923336,5097102,0,848478,6059616,4288,985608,9512,98,0,650,5171076,2008,180,1257,71,1,2,4,1,0,0,0,0,0,0,629382,234962,214884,0,191496,226310,209088,215282,3624,721440,0,0,135956,13028,0,358644,220836,454764,238082,220138,226814
2019,July,0,749552,5097102,0,1325802,8766016,3492,1304472,12420,42,0,540,5171076,2556,104,3921,3726,26,0,200,10,5,0,0,0,0,0,692874,242310,225182,0,174768,218870,203760,191112,10294,590226,0,0,103058,8306,0,370755,232466,454992,247674,238236,229084
2019,June,0,810280,5097102,0,1111338,6741608,4848,1055544,11180,50,0,434,5171076,2664,156,678,27,5,0,132,1,0,0,0,0,0,0,647844,222572,209504,0,149994,181624,172610,167690,13768,633786,0,0,116452,9478,0,335067,211828,409272,227270,211820,205716
2019,March,0,908592,5097102,0,1002198,6017236,4608,1044267,10552,34,0,660,5171076,4976,160,221,4,0,0,0,2,0,0,0,0,0,0,739770,223612,210038,0,202222,227486,215362,217324,1686,709236,0,0,125756,11782,0,339996,214916,442716,225712,214998,221062
2019,May,0,891424,5097102,0,1044036,6577748,2288,1032168,12556,106,0,586,5171076,2004,164,514,344,0,0,104,0,0,0,0,0,0,0,761742,240218,216080,0,203704,226120,209814,206764,4248,697806,0,0,122180,29210,0,360174,221890,435492,225588,207924,206596
2019,November,0,759224,5097102,0,841800,4500540,1920,741258,8832,116,0,530,5171076,1748,112,158,64,3,2,8,6,0,0,0,0,0,0,650016,216616,212766,0,181824,209444,207126,197566,9706,581646,0,0,157164,6302,0,327393,216726,414192,218400,216990,207502
2019,October,0,911256,5097102,0,1020870,6022740,2284,952599,20168,52,0,666,5171076,2084,188,145,31,18,11,8,1,0,3,1,1,0,0,657030,239006,219730,0,189234,229546,213086,214602,12418,692892,0,0,116240,6478,0,362265,222318,445024,241418,221944,220238
2019,September,0,912328,5097102,0,1000326,6030048,2324,964065,15952,66,0,384,5171076,2304,164,228,105,32,0,4,1,0,4,0,0,0,0,699816,222720,209618,0,202796,223414,218352,224238,15636,716298,0,0,136148,6698,0,335349,213000,450380,223132,213422,225070
2020,April,0,845392,4576702,0,591954,3210652,2748,537270,7352,44,0,632,4550043,1056,72,240,50,4,3,44,1,0,0,0,0,0,0,668028,214610,202638,0,195508,213888,198610,197722,7602,654336,0,0,114902,2980,0,319893,202640,402356,214116,201654,200962
2020,August,0,820984,4564197,0,709674,3662688,2244,562797,11560,204,0,430,4537611,1392,204,398,246,20,8,560,6,0,2,0,0,60,0,671004,219408,219288,0,197030,217234,218572,222908,11840,630846,0,0,116626,3958,0,329646,221114,452924,221400,222406,226772
2020,December,0,567032,4564197,0,346374,2428606,1416,210153,9308,186,0,404,4537611,2092,116,392,220,0,16,4,1,3,2298,0,0,25472,0,558558,176604,170188,0,164760,177218,175242,167396,9074,438030,88,79,88654,5164,96,268713,175864,338392,179090,174548,169908
2020,February,0,562480,4564197,0,1107342,6860536,2908,1125345,10312,20,0,1658,4537611,1796,536,389,100,18,6,0,3,9,0,0,0,0,0,602286,204020,200482,0,166436,196982,202028,197584,5572,437994,0,0,65626,3428,0,302601,201220,398624,205908,209272,206142
2020,January,0,629928,4576702,0,1060512,6916948,2624,1097646,9180,46,0,648,4550043,2216,164,459,119,13,8,0,0,1,0,0,0,0,0,697032,225106,212010,0,195320,224182,215370,216558,6554,480714,0,0,79020,2664,0,338136,213294,433424,229872,219768,221850
2020,July,0,881144,4564197,0,755766,4216366,2120,630087,10880,64,0,274,4537611,1036,208,288,107,13,10,4,1,2,0,0,0,0,0,701760,236308,238572,0,200670,238798,239326,227596,14848,683892,0,0,146208,5576,0,358368,241300,456024,237618,239508,227920
