date,intervention_cases
2019-01-31,793.0
2019-02-28,576.0
2019-03-31,430.0
2019-04-30,316.0
2019-05-31,251.0
2019-06-30,199.0
2019-07-31,148.0
2019-08-31,118.0
2019-09-30,84.0
2019-10-31,62.0
2019-11-30,42.0
2019-12-31,34.0
2020-01-31,28.0
2020-02-29,24.0
2020-03-31,19.0
2020-04-30,14.0
2020-05-31,16.0
2020-06-30,16.0
2020-07-31,15.0
2020-08-31,12.0
2020-09-30,9.0
2020-10-31,10.0
2020-11-30,10.0
2020-12-31,8.0
2021-01-31,10.0
2021-02-28,5.0
2021-03-31,4.0
2021-04-30,8.0
2021-05-31,6.0
2021-06-30,10.0
2021-07-31,9.0
2021-08-31,7.0
2021-09-30,10.0
2021-10-31,9.0
2021-11-30,9.0
2021-12-31,9.0
2022-01-31,9.0
2022-02-28,9.0
2022-03-31,6.0
2022-04-30,6.0
2022-05-31,7.0
2022-06-30,6.0
2022-07-31,4.0
2022-08-31,6.0
2022-09-30,5.0
2022-10-31,5.0
2022-11-30,4.0
2022-12-31,3.0
2023-01-31,3.0
2023-02-28,6.0
2023-03-31,7.0
2023-04-30,7.0
2023-05-31,6.0
2023-06-30,5.0
2023-07-31,4.0
2023-08-31,5.0
2023-09-30,4.0
2023-10-31,4.0
2023-11-30,5.0
2023-12-31,8.0
2024-01-31,10.0
2024-02-29,10.0
2024-03-31,7.0
2024-04-30,3.0
2024-05-31,8.0
2024-06-30,6.0
2024-07-31,7.0
2024-08-31,5.0
2024-09-30,7.0
2024-10-31,7.0
2024-11-30,7.0
2024-12-31,9.0
2025-01-31,6.0
