date,model_cases
2019-01-31,1142.0
2019-02-28,1094.0
2019-03-31,1050.0
2019-04-30,1006.0
2019-05-31,987.0
2019-06-30,967.0
2019-07-31,939.0
2019-08-31,922.0
2019-09-30,901.0
2019-10-31,879.0
2019-11-30,864.0
2019-12-31,849.0
2020-01-31,837.0
2020-02-29,821.0
2020-03-31,810.0
2020-04-30,795.0
2020-05-31,788.0
2020-06-30,782.0
2020-07-31,768.0
2020-08-31,758.0
2020-09-30,749.0
2020-10-31,734.0
2020-11-30,719.0
2020-12-31,706.0
2021-01-31,692.0
2021-02-28,683.0
2021-03-31,674.0
2021-04-30,662.0
2021-05-31,657.0
2021-06-30,648.0
2021-07-31,634.0
2021-08-31,630.0
2021-09-30,617.0
2021-10-31,610.0
2021-11-30,599.0
2021-12-31,593.0
2022-01-31,581.0
2022-02-28,576.0
2022-03-31,567.0
2022-04-30,564.0
2022-05-31,552.0
2022-06-30,547.0
2022-07-31,542.0
2022-08-31,537.0
2022-09-30,530.0
2022-10-31,526.0
2022-11-30,514.0
2022-12-31,508.0
2023-01-31,503.0
2023-02-28,495.0
2023-03-31,488.0
2023-04-30,485.0
2023-05-31,479.0
2023-06-30,473.0
2023-07-31,467.0
2023-08-31,468.0
2023-09-30,461.0
2023-10-31,458.0
2023-11-30,456.0
2023-12-31,449.0
2024-01-31,441.0
2024-02-29,437.0
2024-03-31,434.0
2024-04-30,431.0
2024-05-31,428.0
2024-06-30,426.0
2024-07-31,419.0
2024-08-31,419.0
2024-09-30,417.0
2024-10-31,414.0
2024-11-30,411.0
2024-12-31,410.0
2025-01-31,409.0
