date,cases
2019-01-31,3338
2019-02-28,3277
2019-03-31,3220
2019-04-30,3162
2019-05-31,3102
2019-06-30,3042
2019-07-31,2982
2019-08-31,2922
2019-09-30,2862
2019-10-31,2802
2019-11-30,2742
2019-12-31,2682
2020-01-31,2622
2020-02-29,2562
2020-03-31,2502
2020-04-30,2442
2020-05-31,2382
2020-06-30,2322
2020-07-31,2262
2020-08-31,2202
2020-09-30,2142
2020-10-31,2082
2020-11-30,2022
2020-12-31,1962
2021-01-31,1902
2021-02-28,1842
2021-03-31,1782
2021-04-30,1722
2021-05-31,1662
2021-06-30,1602
2021-07-31,1542
2021-08-31,1482
2021-09-30,1422
2021-10-31,1362
2021-11-30,1302
2021-12-31,1242
2022-01-31,1182
2022-02-28,1122
2022-03-31,1062
2022-04-30,1002
2022-05-31,942
2022-06-30,882
2022-07-31,822
2022-08-31,762
2022-09-30,702
2022-10-31,642
2022-11-30,582
2022-12-31,522
2023-01-31,462
2023-02-28,402
2023-03-31,342
2023-04-30,282
2023-05-31,222
2023-06-30,162
2023-07-31,130
2023-08-31,130
2023-09-30,130
2023-10-31,130
2023-11-30,130
2023-12-31,130
2024-01-31,130
2024-02-29,130
2024-03-31,130
2024-04-30,130
2024-05-31,130
2024-06-30,130
2024-07-31,130
2024-08-31,130
2024-09-30,130
2024-10-31,130
2024-11-30,130
2024-12-31,130
2025-01-31,130 
